Accreditation / Offer,Service #,Fleet #,Vehicle Type,Date Open,Scheduled Start Date,Scheduled End Date,Service Type,Service Alias,Repairers,Repairer Notes
NSW - MOOREBANK,Tablet,CASC03 WEST,Crane - Stacking,27/06/2025,30/06/2025 7:00,30/06/2025 10:00,A,Weekly inspection,Kalmar Equipment Aust.,Weekly inspection
NSW - MOOREBANK,Tablet,ASC02,Crane - Stacking,27/06/2025,30/06/2025 19:00,30/06/2025 21:45,A,Weekly inspection,Kalmar Equipment Aust.,Weekly inspection
NSW - MOOREBANK,Tablet,SP007,Bromma Spr,27/06/2025,01/07/2025 7:00,01/07/2025 17:00,A,Service,Kalmar Equipment Aust.,Electrical-Mechanical service. Twistlock change
NSW - MOOREBANK,Tablet,CASC01 WEST,Crane - Stacking,27/06/2025,01/07/2025 7:00,01/07/2025 10:00,A,Weekly inspection,Kalmar Equipment Aust.,Weekly inspection
NSW - MOOREBANK,Tablet,CASC03 EAST,Crane - Stacking,27/06/2025,01/07/2025 19:00,01/07/2025 21:00,A,Weekly inspection,Kalmar Equipment Aust.,Weekly inspection
NSW - MOOREBANK,Tablet,CASC04 EAST,Crane - Stacking,27/06/2025,02/07/2025 7:00,02/07/2025 10:00,A,Weekly inspection,Kalmar Equipment Aust.,Weekly inspection
NSW - MOOREBANK,Tablet,CASC02 EAST,Crane - Stacking,27/06/2025,02/07/2025 19:00,02/07/2025 21:00,A,Weekly inspection,Kalmar Equipment Aust.,Weekly inspection
NSW - MOOREBANK,Tablet,CASC01 EAST,Crane - Stacking,27/06/2025,02/07/2025 22:00,02/07/2025 23:45,A,Weekly inspection,Kalmar Equipment Aust.,Weekly inspection
NSW - MOOREBANK,Tablet,CASC04 WEST,Crane - Stacking,27/06/2025,03/07/2025 7:00,03/07/2025 9:00,A,Weekly inspection,Kalmar Equipment Aust.,Weekly inspection
NSW - MOOREBANK,Tablet,ASC01,Crane - Stacking,27/06/2025,03/07/2025 10:00,03/07/2025 12:00,A,Weekly inspection,Kalmar Equipment Aust.,Weekly inspection
NSW - MOOREBANK,Tablet,ASC04,Crane - Stacking,27/06/2025,03/07/2025 19:00,03/07/2025 21:00,A,Weekly inspection,Kalmar Equipment Aust.,Weekly inspection
NSW - MOOREBANK,Tablet,CASC02 WEST,Crane - Stacking,27/06/2025,04/07/2025 19:00,04/07/2025 22:00,A,Weekly inspection,Kalmar Equipment Aust.,Weekly inspection
NSW - MOOREBANK,S-86,ASC04,Crane - Stacking,27/06/2025,05/07/2025 7:00,05/07/2025 15:00,A,Service,Kalmar Equipment Aust.,Gantry service
NSW - MOOREBANK,S-87,ASC01,Crane - Stacking,27/06/2025,06/07/2025 19:00,06/07/2025 23:45,A,Service,Kalmar Equipment Aust.,Gantry service
NSW - MOOREBANK,S-88,ASC02,Crane - Stacking,27/06/2025,06/07/2025 7:00,06/07/2025 15:00,A,Service,Kalmar Equipment Aust.,Gantry service
NSW - MOOREBANK,S-89,ASC03,Crane - Stacking,27/06/2025,07/07/2025 19:00,07/07/2025 23:45,A,Service,Kalmar Equipment Aust.,Gantry service